reference,prediction,wer,cer
Adada göl yoxdur.,Adada göl yoxdur.,0.0,0.0
Çünki o yoxdur.,Çünki o yoxdur.,0.0,0.0
Kolbasa tam və ya doğranmış şəkildə servis edilir.,Kalbasa tam və ya doğranmış şəkildə servis edilir.,0.125,0.023255813953488372
Həmin il Yaponiya Misirin müstəqilliyini tanımışdır.,Həmin il Yaponiya Misirin müstəqiliyini tanımışdır.,0.16666666666666666,0.02127659574468085
Çar ordusunda zabit kimi xidmət etmişdi.,Sar ordusunda zabit kimi xidmət etmişdi.,0.16666666666666666,0.02857142857142857
Lena çayın sağ sahilində yerləşir.,Lena çayın sağaq sahilində yerləşir.,0.2,0.06666666666666667
Şəhər alim və ixtiraçı Nikola Teslanın doğulduğu yerdir.,Şəhər alim və ixtiratlı Nikola Təslanın doğulduğu yerdir.,0.25,0.061224489795918366
Hər ikisi sağda olan alay geri çəkilməyə başladı.,Hər ikisi sağda olan ola geri çekebəyə başladı.,0.25,0.14285714285714285
Uzun qara geyimləri və quru bir atı vardır.,Uzun qara qeyməri və quru bir adı vardır.,0.25,0.1111111111111111
Elə orta məktəbi də həmin kənddə bitirib.,Elə orta məşdəbi də həmin çəktə bitirib.,0.2857142857142857,0.17142857142857143
Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır.,Məxəlif illərdə fərqili sahələrdə iş fəaliyyətinə başlayır.,0.2857142857142857,0.05660377358490566
Təhsilini davam etdirmək istəsə də mümkün olmayıb.,"Təhsilini, davam etdirməc istəsə də mümkün olmayıb.",0.2857142857142857,0.045454545454545456
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər.,İnsanlar və həyvanların bitkilərlə zəhərlənməsi muxtalif zəhəblərdən baş verə bilər.,0.3,0.06666666666666667
Təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüşçü tədqiqata başlayır.,Təlim mətçəzlərindən birinə edilən sirili hücumun ardından iki ən yaxşı döyüsü tədqiqatə başlayır.,0.3076923076923077,0.06976744186046512
Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir.,"Hal hazırda, Khazərq kanalında producer olaraq işinə davam edir.",0.3333333333333333,0.1320754716981132
Daha sonra həmin məktəbin direktoru olur.,Daha sonra həmin məc təbin direktoru olur.,0.3333333333333333,0.027777777777777776
Qurdlar camaatının bir tirəsinin adı idi.,Qurdlar çamatın bir tiresinin adı idi.,0.3333333333333333,0.1388888888888889
Ərazisində çöl bitkiləri üstünlük təşkil edir.,Əraycisində çöl bitkilər üstünlük təşkil edir.,0.3333333333333333,0.07317073170731707
Şaxtalı aylarda sahil ərazilər donur.,Şəxdalı aylarda sahil ərazlər donur.,0.4,0.09090909090909091
Qəsəbə adını oradakı eyniadlı çayın adından almışdır.,Gəsəbə adını oradaki eynadlı çayın adından almışdır.,0.42857142857142855,0.06382978723404255
